minus_words,count
решетка,153
сумка,124
гриль,121
крышей,97
крышка,85
посуда,84
барбекю,44
стол,44
подставка,40
нержавейка,36
столик,36
чехол,35
туристический,27
уголь,27
круглый,23
электрический,23
коптильня,21
нержавеющая,21
вертел,20
одноразовый,18
навес,17
решотка,17
сетка,17
кованные,16
мебель,16
вертикальный,15
чаша,15
щипцы,15
коврик,14
кочерга,14
тарелка,14
краска,13
щетка,13
мангол,12
подказанник,12
решётка,12
сковорода,12
стул,12
товар,12
чугунный,12
беседка,9
кирпич,9
противень,9
раздувать,9
брикет,8
катер,8
крутилка,8
магал,8
совок,8
балон,7
вытяжка,7
кованый,7
крутящий,7
раздуватель,7
укрытие,7
фен,7
опахало,6
павильон,6
тумба,6
аэротруба,5
бенгал,5
веер,5
встраиваемый,5
дрова,5
жаровня,5
каптильня,5
квартира,5
крутящийся,5
махалка,5
плита,5
поддувало,5
скамьей,5
тандыр,5
тент,5
термодатчик,5
чистка,5
электро,5
электропривод,5
автоповорот,4
бумажный,4
ветродуйка,4
вытяжкой,4
грунтовка,4
дымоотвод,4
дымосос,4
зефирки,4
зонт,4
колесах,4
мануал,4
прихват,4
продува,4
розжиг,4
термометр,4
шатер,4
шестеренки,4
шпажки,4
штыри,4
электронный,4
элетрический,4
ангал,3
вертиль,3
газовый,3
зажигалка,3
значки,3
кольца,3
лейка,3
мунгдал,3
пепельница,3
скамейкой,3
скорода,3
термоконтур,3
чайник,3
шаурма,3
эмаль,3
азелит,2
бетон,2
брызгалка,2
вентилятор,2
ветродув,2
ветрозащита,2
вращения,2
втыкающийся,2
выдув,2
вытешка,2
габионов,2
глины,2
декорация,2
дровокол,2
дуршлаг,2
дымоудаление,2
дымоуловитель,2
зажигалкадля,2
кастрюля,2
козырек,2
колесиках,2
колески,2
колышки,2
конусообразный,2
корщетка,2
краги,2
муляж,2
мунгал,2
мячик,2
перчатки,2
прихватка,2
прищепка,2
продувка,2
пропеллер,2
проставка,2
пшикалка,2
раздувательдля,2
раздуй,2
рогатка,2
сажин,2
самокручащий,2
самоповорачивающий,2
самоповоротный,2
сковородка,2
тату,2
тепан,2
термос,2
турбо,2
тушилка,2
укрывной,2
умывальник,2
химический,2
цилиндр,2
чугун,2
шапка,2
шипчы,2
электровертел,2
электроветродуйка,2
электромотор,2
электронни,2
электронны,2
электрораздув,2
электрческий,2
элетро,2
ящик,2
cif,2
cnjk,2
dtnhjleq,2
htitnrf,2
sanitol,2
автокрутилка,1
автоматический,1
аэрогриль,1
аэромангал,1
буржуйка,1
вилка,1
вращатель,1
вытяжкадля,1
градусник,1
двигатель,1
камушки,1
кирка,1
колено,1
колья,1
конфеты,1
копчения,1
лавашей,1
отмывания,1
панель,1
поднос,1
подстаканник,1
раздувка,1
роджег,1
селикон,1
твари,1
тележка,1
термокружка,1
термокрышка,1
термощуп,1
цепь,1
шиммер,1
шипци,1
шланг,1
шлейка,1
электрозажигалка,1
cковородка,1
cтол,1
ifvgehf,1
rjxthuf,1
аэро,0
бетонные,0
вакуум,0
камни,0
качерга,0
кирпичный,0
розетка,0
сангал,0
спанборд,0